episode,average_score,best_score
1,,-inf
2,,-inf
3,,-inf
4,,-inf
5,,-inf
6,,-inf
7,,-inf
8,,-inf
9,,-inf
10,,-inf
11,,-inf
12,,-inf
13,,-inf
14,,-inf
15,,-inf
16,,-inf
17,,-inf
18,,-inf
19,,-inf
20,,-inf
21,,-inf
22,,-inf
23,,-inf
24,,-inf
25,,-inf
26,,-inf
27,,-inf
28,,-inf
29,,-inf
30,,-inf
31,,-inf
32,,-inf
33,,-inf
34,,-inf
35,,-inf
36,,-inf
37,,-inf
38,,-inf
39,,-inf
40,,-inf
41,,-inf
42,,-inf
43,,-inf
44,,-inf
45,,-inf
46,,-inf
47,,-inf
48,,-inf
49,,-inf
50,,-inf
51,,-inf
52,,-inf
53,,-inf
54,,-inf
55,,-inf
56,,-inf
57,,-inf
58,,-inf
59,,-inf
60,,-inf
61,,-inf
62,,-inf
63,,-inf
64,,-inf
65,,-inf
66,,-inf
67,,-inf
68,,-inf
69,,-inf
70,,-inf
71,,-inf
72,,-inf
73,,-inf
74,,-inf
75,,-inf
76,,-inf
77,,-inf
78,,-inf
79,,-inf
80,,-inf
81,,-inf
82,,-inf
83,,-inf
84,,-inf
85,,-inf
86,,-inf
87,,-inf
88,,-inf
89,,-inf
90,,-inf
91,,-inf
92,,-inf
93,,-inf
94,,-inf
95,,-inf
96,,-inf
97,,-inf
98,,-inf
99,,-inf
100,,-inf
101,,-inf
102,,-inf
103,,-inf
104,,-inf
105,,-inf
106,,-inf
107,,-inf
108,,-inf
109,,-inf
110,,-inf
111,,-inf
112,,-inf
113,,-inf
114,,-inf
115,,-inf
116,,-inf
117,,-inf
118,,-inf
119,,-inf
120,,-inf
121,,-inf
122,,-inf
123,,-inf
124,,-inf
125,,-inf
126,,-inf
127,,-inf
128,,-inf
129,,-inf
130,,-inf
131,,-inf
132,,-inf
133,,-inf
134,,-inf
135,,-inf
136,,-inf
137,,-inf
138,,-inf
139,,-inf
140,,-inf
141,,-inf
142,,-inf
143,,-inf
144,,-inf
145,,-inf
146,,-inf
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.3333333333333333,0.3333333333333333
155,0.3333333333333333,0.3333333333333333
156,0.3333333333333333,0.3333333333333333
157,0.3333333333333333,0.3333333333333333
158,1.25,1.25
159,1.25,1.25
160,1.6,1.6
161,1.6,1.6
162,1.6,1.6
163,1.6,1.6
164,1.6,1.6
165,1.6,1.6
166,1.6,1.6
167,1.4285714285714286,1.6
168,1.4285714285714286,1.6
169,1.5,1.6
170,1.5,1.6
171,1.6,1.6
172,1.6,1.6
173,1.6,1.6
174,1.6,1.6
175,1.6,1.6
176,1.6363636363636365,1.6363636363636365
177,1.6363636363636365,1.6363636363636365
178,1.6363636363636365,1.6363636363636365
179,1.6363636363636365,1.6363636363636365
180,1.6363636363636365,1.6363636363636365
181,1.6363636363636365,1.6363636363636365
182,1.6363636363636365,1.6363636363636365
183,1.6363636363636365,1.6363636363636365
184,1.6363636363636365,1.6363636363636365
185,1.6363636363636365,1.6363636363636365
186,1.6363636363636365,1.6363636363636365
187,1.6363636363636365,1.6363636363636365
188,1.6363636363636365,1.6363636363636365
189,1.6363636363636365,1.6363636363636365
190,1.6363636363636365,1.6363636363636365
191,1.6363636363636365,1.6363636363636365
192,1.6363636363636365,1.6363636363636365
193,1.6363636363636365,1.6363636363636365
194,1.6363636363636365,1.6363636363636365
195,1.6363636363636365,1.6363636363636365
196,1.6363636363636365,1.6363636363636365
197,1.6363636363636365,1.6363636363636365
198,1.6363636363636365,1.6363636363636365
199,1.6363636363636365,1.6363636363636365
200,1.6363636363636365,1.6363636363636365
201,1.6363636363636365,1.6363636363636365
202,1.6363636363636365,1.6363636363636365
203,1.6363636363636365,1.6363636363636365
204,1.6363636363636365,1.6363636363636365
205,1.6363636363636365,1.6363636363636365
206,1.6666666666666667,1.6666666666666667
207,1.6666666666666667,1.6666666666666667
208,1.6666666666666667,1.6666666666666667
209,1.6666666666666667,1.6666666666666667
210,1.6666666666666667,1.6666666666666667
211,1.6666666666666667,1.6666666666666667
212,1.8461538461538463,1.8461538461538463
213,1.9285714285714286,1.9285714285714286
214,1.875,1.9285714285714286
215,1.875,1.9285714285714286
216,1.875,1.9285714285714286
217,2.0588235294117645,2.0588235294117645
218,2.0588235294117645,2.0588235294117645
219,2.3333333333333335,2.3333333333333335
220,2.3333333333333335,2.3333333333333335
221,2.3333333333333335,2.3333333333333335
222,2.3333333333333335,2.3333333333333335
223,2.263157894736842,2.3333333333333335
224,2.263157894736842,2.3333333333333335
225,2.263157894736842,2.3333333333333335
226,2.263157894736842,2.3333333333333335
227,2.15,2.3333333333333335
228,2.15,2.3333333333333335
229,2.15,2.3333333333333335
230,2.15,2.3333333333333335
231,2.15,2.3333333333333335
232,2.15,2.3333333333333335
233,2.15,2.3333333333333335
234,2.15,2.3333333333333335
235,2.15,2.3333333333333335
236,2.15,2.3333333333333335
237,2.15,2.3333333333333335
238,2.15,2.3333333333333335
239,2.238095238095238,2.3333333333333335
240,2.238095238095238,2.3333333333333335
241,2.272727272727273,2.3333333333333335
242,2.272727272727273,2.3333333333333335
243,2.272727272727273,2.3333333333333335
244,2.272727272727273,2.3333333333333335
245,2.272727272727273,2.3333333333333335
246,2.272727272727273,2.3333333333333335
247,2.272727272727273,2.3333333333333335
248,2.347826086956522,2.347826086956522
249,2.347826086956522,2.347826086956522
250,2.347826086956522,2.347826086956522
251,2.347826086956522,2.347826086956522
252,2.347826086956522,2.347826086956522
253,2.347826086956522,2.347826086956522
254,2.347826086956522,2.347826086956522
255,2.347826086956522,2.347826086956522
256,2.347826086956522,2.347826086956522
257,2.347826086956522,2.347826086956522
258,2.347826086956522,2.347826086956522
259,2.347826086956522,2.347826086956522
260,2.347826086956522,2.347826086956522
261,2.347826086956522,2.347826086956522
262,2.375,2.375
263,2.375,2.375
264,2.375,2.375
265,2.36,2.375
266,2.36,2.375
267,2.36,2.375
268,2.36,2.375
269,2.36,2.375
270,2.36,2.375
271,2.36,2.375
272,2.36,2.375
273,2.36,2.375
274,2.36,2.375
275,2.36,2.375
276,2.36,2.375
277,2.4615384615384617,2.4615384615384617
278,2.4615384615384617,2.4615384615384617
279,2.4615384615384617,2.4615384615384617
280,2.4615384615384617,2.4615384615384617
281,2.4615384615384617,2.4615384615384617
282,2.4615384615384617,2.4615384615384617
283,2.4615384615384617,2.4615384615384617
284,2.4615384615384617,2.4615384615384617
285,2.4814814814814814,2.4814814814814814
286,2.4814814814814814,2.4814814814814814
287,2.4814814814814814,2.4814814814814814
288,2.4814814814814814,2.4814814814814814
289,2.4814814814814814,2.4814814814814814
290,2.4814814814814814,2.4814814814814814
291,2.4814814814814814,2.4814814814814814
292,2.4814814814814814,2.4814814814814814
293,2.4814814814814814,2.4814814814814814
294,2.4814814814814814,2.4814814814814814
295,2.4814814814814814,2.4814814814814814
296,2.4814814814814814,2.4814814814814814
297,2.5,2.5
298,2.5,2.5
299,2.5,2.5
300,2.5,2.5
301,2.5,2.5
302,2.5,2.5
303,2.5,2.5
304,2.5,2.5
305,2.5,2.5
306,2.5,2.5
307,2.5,2.5
308,2.5,2.5
309,2.4482758620689653,2.5
310,2.4482758620689653,2.5
311,2.4482758620689653,2.5
312,2.4482758620689653,2.5
313,2.466666666666667,2.5
314,2.466666666666667,2.5
315,2.466666666666667,2.5
316,2.466666666666667,2.5
317,2.466666666666667,2.5
318,2.375,2.5
319,2.375,2.5
320,2.375,2.5
321,2.375,2.5
322,2.375,2.5
323,2.375,2.5
324,2.375,2.5
325,2.375,2.5
326,2.375,2.5
327,2.375,2.5
328,2.375,2.5
329,2.375,2.5
330,2.375,2.5
331,2.375,2.5
332,2.375,2.5
333,2.375,2.5
334,2.375,2.5
335,2.375,2.5
336,2.375,2.5
337,2.375,2.5
338,2.375,2.5
339,2.375,2.5
340,2.375,2.5
341,2.375,2.5
342,2.375,2.5
343,2.375,2.5
344,2.375,2.5
345,2.375,2.5
346,2.375,2.5
347,2.3529411764705883,2.5
348,2.3529411764705883,2.5
349,2.3529411764705883,2.5
350,2.3529411764705883,2.5
351,2.3142857142857145,2.5
352,2.3142857142857145,2.5
353,2.3142857142857145,2.5
354,2.3142857142857145,2.5
355,2.3142857142857145,2.5
356,2.3142857142857145,2.5
357,2.3142857142857145,2.5
358,2.3142857142857145,2.5
359,2.3142857142857145,2.5
360,2.3142857142857145,2.5
361,2.3142857142857145,2.5
362,2.3142857142857145,2.5
363,2.3142857142857145,2.5
364,2.3142857142857145,2.5
365,2.3055555555555554,2.5
366,2.3055555555555554,2.5
367,2.3055555555555554,2.5
368,2.3055555555555554,2.5
369,2.324324324324324,2.5
370,2.289473684210526,2.5
371,2.2564102564102564,2.5
372,2.2564102564102564,2.5
373,2.2564102564102564,2.5
374,2.275,2.5
375,2.275,2.5
376,2.275,2.5
377,2.2195121951219514,2.5
378,2.2195121951219514,2.5
379,2.1666666666666665,2.5
380,2.1666666666666665,2.5
381,2.1666666666666665,2.5
382,2.1666666666666665,2.5
383,2.1666666666666665,2.5
384,2.116279069767442,2.5
385,2.116279069767442,2.5
386,2.1363636363636362,2.5
387,2.1363636363636362,2.5
388,2.1363636363636362,2.5
389,2.1363636363636362,2.5
390,2.1363636363636362,2.5
391,2.1363636363636362,2.5
392,2.1363636363636362,2.5
393,2.1363636363636362,2.5
394,2.1363636363636362,2.5
395,2.1363636363636362,2.5
396,2.1363636363636362,2.5
397,2.1363636363636362,2.5
398,2.1363636363636362,2.5
399,2.1333333333333333,2.5
400,2.1333333333333333,2.5
401,2.1333333333333333,2.5
402,2.1333333333333333,2.5
403,2.1333333333333333,2.5
404,2.152173913043478,2.5
405,2.152173913043478,2.5
406,2.152173913043478,2.5
407,2.152173913043478,2.5
408,2.152173913043478,2.5
409,2.152173913043478,2.5
410,2.152173913043478,2.5
411,2.152173913043478,2.5
412,2.152173913043478,2.5
413,2.152173913043478,2.5
414,2.152173913043478,2.5
415,2.152173913043478,2.5
416,2.152173913043478,2.5
417,2.152173913043478,2.5
418,2.152173913043478,2.5
419,2.152173913043478,2.5
420,2.152173913043478,2.5
421,2.152173913043478,2.5
422,2.152173913043478,2.5
423,2.152173913043478,2.5
424,2.152173913043478,2.5
425,2.152173913043478,2.5
426,2.152173913043478,2.5
427,2.152173913043478,2.5
428,2.152173913043478,2.5
429,2.152173913043478,2.5
430,2.152173913043478,2.5
431,2.152173913043478,2.5
432,2.152173913043478,2.5
433,2.234042553191489,2.5
434,2.234042553191489,2.5
435,2.234042553191489,2.5
436,2.234042553191489,2.5
437,2.234042553191489,2.5
438,2.3125,2.5
439,2.3125,2.5
440,2.3125,2.5
441,2.3125,2.5
442,2.3125,2.5
443,2.3125,2.5
444,2.3125,2.5
445,2.3125,2.5
446,2.3125,2.5
447,2.3125,2.5
448,2.3125,2.5
449,2.3125,2.5
450,2.3125,2.5
451,2.3125,2.5
452,2.3125,2.5
453,2.3125,2.5
454,2.3125,2.5
455,2.3125,2.5
456,2.3125,2.5
457,2.3125,2.5
458,2.3125,2.5
459,2.4081632653061225,2.5
460,2.4081632653061225,2.5
461,2.4081632653061225,2.5
462,2.4081632653061225,2.5
463,2.42,2.5
464,2.42,2.5
465,2.42,2.5
466,2.42,2.5
467,2.42,2.5
468,2.42,2.5
469,2.42,2.5
470,2.42,2.5
471,2.42,2.5
472,2.42,2.5
473,2.42,2.5
474,2.42,2.5
475,2.42,2.5
476,2.42,2.5
477,2.42,2.5
478,2.392156862745098,2.5
479,2.4038461538461537,2.5
480,2.4038461538461537,2.5
481,2.4038461538461537,2.5
482,2.4038461538461537,2.5
483,2.4038461538461537,2.5
484,2.4038461538461537,2.5
485,2.4038461538461537,2.5
486,2.4038461538461537,2.5
487,2.4038461538461537,2.5
488,2.4038461538461537,2.5
489,2.4038461538461537,2.5
490,2.3962264150943398,2.5
491,2.3962264150943398,2.5
492,2.3962264150943398,2.5
493,2.3962264150943398,2.5
494,2.3962264150943398,2.5
495,2.5,2.5
496,2.5,2.5
497,2.5272727272727273,2.5272727272727273
498,2.5272727272727273,2.5272727272727273
499,2.5272727272727273,2.5272727272727273
500,2.5272727272727273,2.5272727272727273
501,2.5272727272727273,2.5272727272727273
502,2.5272727272727273,2.5272727272727273
503,2.5357142857142856,2.5357142857142856
504,2.5357142857142856,2.5357142857142856
505,2.5357142857142856,2.5357142857142856
506,2.5357142857142856,2.5357142857142856
507,2.5357142857142856,2.5357142857142856
508,2.5357142857142856,2.5357142857142856
509,2.5357142857142856,2.5357142857142856
510,2.5357142857142856,2.5357142857142856
511,2.5357142857142856,2.5357142857142856
512,2.5357142857142856,2.5357142857142856
513,2.5357142857142856,2.5357142857142856
514,2.56140350877193,2.56140350877193
515,2.56140350877193,2.56140350877193
516,2.56140350877193,2.56140350877193
517,2.56140350877193,2.56140350877193
518,2.586206896551724,2.586206896551724
519,2.586206896551724,2.586206896551724
520,2.586206896551724,2.586206896551724
521,2.586206896551724,2.586206896551724
522,2.586206896551724,2.586206896551724
523,2.586206896551724,2.586206896551724
524,2.586206896551724,2.586206896551724
525,2.5762711864406778,2.586206896551724
526,2.5762711864406778,2.586206896551724
527,2.5762711864406778,2.586206896551724
528,2.55,2.586206896551724
529,2.55,2.586206896551724
530,2.540983606557377,2.586206896551724
531,2.540983606557377,2.586206896551724
532,2.540983606557377,2.586206896551724
533,2.540983606557377,2.586206896551724
534,2.540983606557377,2.586206896551724
535,2.540983606557377,2.586206896551724
536,2.540983606557377,2.586206896551724
537,2.540983606557377,2.586206896551724
538,2.540983606557377,2.586206896551724
539,2.540983606557377,2.586206896551724
540,2.540983606557377,2.586206896551724
541,2.540983606557377,2.586206896551724
542,2.540983606557377,2.586206896551724
543,2.540983606557377,2.586206896551724
544,2.540983606557377,2.586206896551724
545,2.540983606557377,2.586206896551724
546,2.540983606557377,2.586206896551724
547,2.540983606557377,2.586206896551724
548,2.540983606557377,2.586206896551724
549,2.540983606557377,2.586206896551724
550,2.540983606557377,2.586206896551724
551,2.540983606557377,2.586206896551724
552,2.540983606557377,2.586206896551724
553,2.540983606557377,2.586206896551724
554,2.540983606557377,2.586206896551724
555,2.540983606557377,2.586206896551724
556,2.540983606557377,2.586206896551724
557,2.564516129032258,2.586206896551724
558,2.564516129032258,2.586206896551724
559,2.564516129032258,2.586206896551724
560,2.564516129032258,2.586206896551724
561,2.564516129032258,2.586206896551724
562,2.564516129032258,2.586206896551724
563,2.564516129032258,2.586206896551724
564,2.6031746031746033,2.6031746031746033
565,2.6031746031746033,2.6031746031746033
566,2.6031746031746033,2.6031746031746033
567,2.6031746031746033,2.6031746031746033
568,2.6031746031746033,2.6031746031746033
569,2.6031746031746033,2.6031746031746033
570,2.578125,2.6031746031746033
571,2.578125,2.6031746031746033
572,2.6923076923076925,2.6923076923076925
573,2.6923076923076925,2.6923076923076925
574,2.6923076923076925,2.6923076923076925
575,2.6923076923076925,2.6923076923076925
576,2.712121212121212,2.712121212121212
577,2.712121212121212,2.712121212121212
578,2.712121212121212,2.712121212121212
579,2.75,2.75
580,2.75,2.75
581,2.75,2.75
582,2.75,2.75
583,2.75,2.75
584,2.739130434782609,2.75
585,2.739130434782609,2.75
586,2.739130434782609,2.75
587,2.739130434782609,2.75
588,2.739130434782609,2.75
589,2.739130434782609,2.75
590,2.739130434782609,2.75
591,2.739130434782609,2.75
592,2.739130434782609,2.75
