episode,average_score,best_score
1,,-inf
2,,-inf
3,,-inf
4,,-inf
5,,-inf
6,,-inf
7,,-inf
8,,-inf
9,,-inf
10,,-inf
11,,-inf
12,,-inf
13,,-inf
14,,-inf
15,,-inf
16,,-inf
17,,-inf
18,,-inf
19,,-inf
20,,-inf
21,,-inf
22,,-inf
23,,-inf
24,,-inf
25,,-inf
26,,-inf
27,,-inf
28,,-inf
29,,-inf
30,,-inf
31,,-inf
32,,-inf
33,,-inf
34,,-inf
35,,-inf
36,,-inf
37,,-inf
38,,-inf
39,,-inf
40,,-inf
41,,-inf
42,,-inf
43,,-inf
44,,-inf
45,,-inf
46,,-inf
47,,-inf
48,,-inf
49,,-inf
50,,-inf
51,,-inf
52,,-inf
53,,-inf
54,,-inf
55,,-inf
56,,-inf
57,,-inf
58,,-inf
59,,-inf
60,,-inf
61,,-inf
62,,-inf
63,,-inf
64,,-inf
65,,-inf
66,,-inf
67,,-inf
68,,-inf
69,,-inf
70,,-inf
71,,-inf
72,,-inf
73,,-inf
74,,-inf
75,,-inf
76,,-inf
77,,-inf
78,,-inf
79,,-inf
80,,-inf
81,,-inf
82,,-inf
83,,-inf
84,,-inf
85,,-inf
86,,-inf
87,,-inf
88,,-inf
89,,-inf
90,,-inf
91,,-inf
92,,-inf
93,,-inf
94,,-inf
95,,-inf
96,,-inf
97,,-inf
98,,-inf
99,,-inf
100,,-inf
101,,-inf
102,,-inf
103,,-inf
104,,-inf
105,,-inf
106,,-inf
107,,-inf
108,,-inf
109,,-inf
110,,-inf
111,,-inf
112,,-inf
113,,-inf
114,,-inf
115,,-inf
116,,-inf
117,,-inf
118,,-inf
119,,-inf
120,,-inf
121,,-inf
122,,-inf
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.14285714285714285,0.14285714285714285
159,0.14285714285714285,0.14285714285714285
160,0.14285714285714285,0.14285714285714285
161,0.2,0.2
162,0.2,0.2
163,0.2,0.2
164,0.2,0.2
165,0.2,0.2
166,0.25,0.25
167,0.25,0.25
168,0.29411764705882354,0.29411764705882354
169,0.29411764705882354,0.29411764705882354
170,0.29411764705882354,0.29411764705882354
171,0.29411764705882354,0.29411764705882354
172,0.29411764705882354,0.29411764705882354
173,0.3333333333333333,0.3333333333333333
174,0.3333333333333333,0.3333333333333333
175,0.3333333333333333,0.3333333333333333
176,0.3333333333333333,0.3333333333333333
177,0.3333333333333333,0.3333333333333333
178,0.3333333333333333,0.3333333333333333
179,0.3684210526315789,0.3684210526315789
180,0.4,0.4
181,0.4,0.4
182,0.42857142857142855,0.42857142857142855
183,0.45454545454545453,0.45454545454545453
184,0.45454545454545453,0.45454545454545453
185,0.45454545454545453,0.45454545454545453
186,0.4782608695652174,0.4782608695652174
187,0.4782608695652174,0.4782608695652174
188,0.5,0.5
189,0.5,0.5
190,0.5,0.5
191,0.52,0.52
192,0.52,0.52
193,0.52,0.52
194,0.52,0.52
195,0.52,0.52
196,0.52,0.52
197,0.52,0.52
198,0.52,0.52
199,0.52,0.52
200,0.52,0.52
201,0.5769230769230769,0.5769230769230769
202,0.5769230769230769,0.5769230769230769
203,0.5769230769230769,0.5769230769230769
204,0.5769230769230769,0.5769230769230769
205,0.5769230769230769,0.5769230769230769
206,0.6296296296296297,0.6296296296296297
207,0.6296296296296297,0.6296296296296297
208,0.6296296296296297,0.6296296296296297
209,0.6296296296296297,0.6296296296296297
210,0.6296296296296297,0.6296296296296297
211,0.6296296296296297,0.6296296296296297
212,0.6296296296296297,0.6296296296296297
213,0.6296296296296297,0.6296296296296297
214,0.6296296296296297,0.6296296296296297
215,0.6296296296296297,0.6296296296296297
216,0.6296296296296297,0.6296296296296297
217,0.6296296296296297,0.6296296296296297
218,0.6296296296296297,0.6296296296296297
219,0.6296296296296297,0.6296296296296297
220,0.6296296296296297,0.6296296296296297
221,0.6296296296296297,0.6296296296296297
222,0.6296296296296297,0.6296296296296297
223,0.6296296296296297,0.6296296296296297
224,0.6296296296296297,0.6296296296296297
225,0.6296296296296297,0.6296296296296297
226,0.6296296296296297,0.6296296296296297
227,0.6785714285714286,0.6785714285714286
228,0.6785714285714286,0.6785714285714286
229,0.7241379310344828,0.7241379310344828
230,0.7241379310344828,0.7241379310344828
231,0.7241379310344828,0.7241379310344828
232,0.7241379310344828,0.7241379310344828
233,0.7241379310344828,0.7241379310344828
234,0.7241379310344828,0.7241379310344828
235,0.7241379310344828,0.7241379310344828
236,0.7666666666666667,0.7666666666666667
237,0.7666666666666667,0.7666666666666667
238,0.7666666666666667,0.7666666666666667
239,0.7666666666666667,0.7666666666666667
240,0.7666666666666667,0.7666666666666667
241,0.7666666666666667,0.7666666666666667
242,0.7666666666666667,0.7666666666666667
243,0.7666666666666667,0.7666666666666667
244,0.7666666666666667,0.7666666666666667
245,0.8387096774193549,0.8387096774193549
246,0.8387096774193549,0.8387096774193549
247,0.8387096774193549,0.8387096774193549
248,0.8387096774193549,0.8387096774193549
249,0.8387096774193549,0.8387096774193549
250,0.8387096774193549,0.8387096774193549
251,0.8387096774193549,0.8387096774193549
252,0.8387096774193549,0.8387096774193549
253,0.8387096774193549,0.8387096774193549
254,0.8387096774193549,0.8387096774193549
255,0.8387096774193549,0.8387096774193549
256,0.8387096774193549,0.8387096774193549
257,0.8387096774193549,0.8387096774193549
258,0.8387096774193549,0.8387096774193549
259,0.8387096774193549,0.8387096774193549
260,0.8387096774193549,0.8387096774193549
261,0.8387096774193549,0.8387096774193549
262,0.8387096774193549,0.8387096774193549
263,0.8387096774193549,0.8387096774193549
264,0.8387096774193549,0.8387096774193549
265,0.8387096774193549,0.8387096774193549
266,0.8387096774193549,0.8387096774193549
267,0.8387096774193549,0.8387096774193549
268,0.8387096774193549,0.8387096774193549
269,0.8387096774193549,0.8387096774193549
270,0.8387096774193549,0.8387096774193549
271,0.8387096774193549,0.8387096774193549
272,0.8125,0.8387096774193549
273,0.7878787878787878,0.8387096774193549
274,0.7878787878787878,0.8387096774193549
275,0.7647058823529411,0.8387096774193549
276,0.7647058823529411,0.8387096774193549
277,0.7647058823529411,0.8387096774193549
278,0.7647058823529411,0.8387096774193549
279,0.7647058823529411,0.8387096774193549
280,0.7647058823529411,0.8387096774193549
281,0.7428571428571429,0.8387096774193549
282,0.7428571428571429,0.8387096774193549
283,0.7428571428571429,0.8387096774193549
284,0.7428571428571429,0.8387096774193549
285,0.7428571428571429,0.8387096774193549
286,0.7222222222222222,0.8387096774193549
287,0.7222222222222222,0.8387096774193549
288,0.7222222222222222,0.8387096774193549
289,0.7222222222222222,0.8387096774193549
290,0.7222222222222222,0.8387096774193549
291,0.7222222222222222,0.8387096774193549
292,0.7027027027027027,0.8387096774193549
293,0.7027027027027027,0.8387096774193549
294,0.7027027027027027,0.8387096774193549
295,0.7027027027027027,0.8387096774193549
296,0.6666666666666666,0.8387096774193549
297,0.6666666666666666,0.8387096774193549
298,0.6666666666666666,0.8387096774193549
299,0.6666666666666666,0.8387096774193549
300,0.6666666666666666,0.8387096774193549
301,0.6666666666666666,0.8387096774193549
302,0.6666666666666666,0.8387096774193549
303,0.6666666666666666,0.8387096774193549
304,0.6666666666666666,0.8387096774193549
305,0.6666666666666666,0.8387096774193549
306,0.65,0.8387096774193549
307,0.65,0.8387096774193549
308,0.65,0.8387096774193549
309,0.7560975609756098,0.8387096774193549
310,0.7560975609756098,0.8387096774193549
311,0.7560975609756098,0.8387096774193549
312,0.7560975609756098,0.8387096774193549
313,0.7560975609756098,0.8387096774193549
314,0.7560975609756098,0.8387096774193549
315,0.7560975609756098,0.8387096774193549
316,0.7380952380952381,0.8387096774193549
317,0.7380952380952381,0.8387096774193549
318,0.7380952380952381,0.8387096774193549
319,0.7441860465116279,0.8387096774193549
320,0.7441860465116279,0.8387096774193549
321,0.7441860465116279,0.8387096774193549
322,0.7441860465116279,0.8387096774193549
323,0.7441860465116279,0.8387096774193549
324,0.75,0.8387096774193549
325,0.75,0.8387096774193549
326,0.7555555555555555,0.8387096774193549
327,0.7391304347826086,0.8387096774193549
328,0.7391304347826086,0.8387096774193549
329,0.7391304347826086,0.8387096774193549
330,0.723404255319149,0.8387096774193549
331,0.723404255319149,0.8387096774193549
332,0.723404255319149,0.8387096774193549
333,0.723404255319149,0.8387096774193549
334,0.7083333333333334,0.8387096774193549
335,0.7083333333333334,0.8387096774193549
336,0.7083333333333334,0.8387096774193549
337,0.7083333333333334,0.8387096774193549
338,0.7083333333333334,0.8387096774193549
339,0.7083333333333334,0.8387096774193549
340,0.7083333333333334,0.8387096774193549
341,0.7142857142857143,0.8387096774193549
342,0.74,0.8387096774193549
343,0.74,0.8387096774193549
344,0.74,0.8387096774193549
345,0.74,0.8387096774193549
346,0.74,0.8387096774193549
347,0.74,0.8387096774193549
348,0.74,0.8387096774193549
349,0.74,0.8387096774193549
350,0.74,0.8387096774193549
351,0.74,0.8387096774193549
352,0.74,0.8387096774193549
353,0.74,0.8387096774193549
354,0.74,0.8387096774193549
355,0.74,0.8387096774193549
356,0.74,0.8387096774193549
357,0.74,0.8387096774193549
358,0.7647058823529411,0.8387096774193549
359,0.7647058823529411,0.8387096774193549
360,0.7647058823529411,0.8387096774193549
361,0.7647058823529411,0.8387096774193549
362,0.7647058823529411,0.8387096774193549
363,0.7647058823529411,0.8387096774193549
364,0.7647058823529411,0.8387096774193549
365,0.7647058823529411,0.8387096774193549
366,0.7647058823529411,0.8387096774193549
367,0.7647058823529411,0.8387096774193549
368,0.75,0.8387096774193549
369,0.75,0.8387096774193549
370,0.75,0.8387096774193549
371,0.75,0.8387096774193549
372,0.75,0.8387096774193549
373,0.75,0.8387096774193549
374,0.75,0.8387096774193549
375,0.75,0.8387096774193549
376,0.7924528301886793,0.8387096774193549
377,0.7924528301886793,0.8387096774193549
378,0.7924528301886793,0.8387096774193549
379,0.7777777777777778,0.8387096774193549
380,0.8,0.8387096774193549
381,0.8,0.8387096774193549
382,0.8,0.8387096774193549
383,0.8,0.8387096774193549
384,0.8,0.8387096774193549
385,0.8,0.8387096774193549
386,0.8,0.8387096774193549
387,0.8596491228070176,0.8596491228070176
388,0.8596491228070176,0.8596491228070176
389,0.8596491228070176,0.8596491228070176
390,0.8596491228070176,0.8596491228070176
391,0.8596491228070176,0.8596491228070176
392,0.8596491228070176,0.8596491228070176
393,0.8596491228070176,0.8596491228070176
394,0.8596491228070176,0.8596491228070176
395,0.8596491228070176,0.8596491228070176
396,0.8596491228070176,0.8596491228070176
397,0.8596491228070176,0.8596491228070176
398,0.8596491228070176,0.8596491228070176
399,0.8596491228070176,0.8596491228070176
400,0.896551724137931,0.896551724137931
401,0.896551724137931,0.896551724137931
402,0.896551724137931,0.896551724137931
403,0.896551724137931,0.896551724137931
404,0.896551724137931,0.896551724137931
405,0.896551724137931,0.896551724137931
406,0.9322033898305084,0.9322033898305084
407,0.9166666666666666,0.9322033898305084
408,0.9166666666666666,0.9322033898305084
409,0.9166666666666666,0.9322033898305084
410,0.9166666666666666,0.9322033898305084
411,0.9166666666666666,0.9322033898305084
412,0.9166666666666666,0.9322033898305084
413,0.9166666666666666,0.9322033898305084
414,0.9166666666666666,0.9322033898305084
415,0.9166666666666666,0.9322033898305084
416,0.9166666666666666,0.9322033898305084
417,0.9166666666666666,0.9322033898305084
418,0.9166666666666666,0.9322033898305084
419,0.9166666666666666,0.9322033898305084
420,0.9166666666666666,0.9322033898305084
421,0.9016393442622951,0.9322033898305084
422,0.9016393442622951,0.9322033898305084
423,0.9016393442622951,0.9322033898305084
424,0.9016393442622951,0.9322033898305084
425,0.9016393442622951,0.9322033898305084
426,0.9016393442622951,0.9322033898305084
427,0.9016393442622951,0.9322033898305084
428,0.9016393442622951,0.9322033898305084
429,0.9016393442622951,0.9322033898305084
430,0.9016393442622951,0.9322033898305084
431,0.9016393442622951,0.9322033898305084
432,0.9016393442622951,0.9322033898305084
433,0.9016393442622951,0.9322033898305084
434,0.9354838709677419,0.9354838709677419
435,0.9206349206349206,0.9354838709677419
436,0.90625,0.9354838709677419
437,0.90625,0.9354838709677419
438,0.90625,0.9354838709677419
439,0.90625,0.9354838709677419
440,0.90625,0.9354838709677419
441,0.90625,0.9354838709677419
442,0.90625,0.9354838709677419
443,0.90625,0.9354838709677419
444,0.8923076923076924,0.9354838709677419
445,0.8923076923076924,0.9354838709677419
446,0.8923076923076924,0.9354838709677419
447,0.8923076923076924,0.9354838709677419
448,0.8923076923076924,0.9354838709677419
449,0.8923076923076924,0.9354838709677419
450,0.8923076923076924,0.9354838709677419
451,0.8939393939393939,0.9354838709677419
452,0.8939393939393939,0.9354838709677419
453,0.8939393939393939,0.9354838709677419
454,0.8805970149253731,0.9354838709677419
455,0.8805970149253731,0.9354838709677419
456,0.8805970149253731,0.9354838709677419
457,0.8805970149253731,0.9354838709677419
458,0.8805970149253731,0.9354838709677419
459,0.8823529411764706,0.9354838709677419
460,0.8823529411764706,0.9354838709677419
461,0.8840579710144928,0.9354838709677419
462,0.8840579710144928,0.9354838709677419
463,0.8840579710144928,0.9354838709677419
464,0.8840579710144928,0.9354838709677419
465,0.8840579710144928,0.9354838709677419
466,0.8840579710144928,0.9354838709677419
467,0.8840579710144928,0.9354838709677419
468,0.8840579710144928,0.9354838709677419
469,0.8840579710144928,0.9354838709677419
470,0.8840579710144928,0.9354838709677419
471,0.8840579710144928,0.9354838709677419
472,0.8840579710144928,0.9354838709677419
473,0.8840579710144928,0.9354838709677419
474,0.8840579710144928,0.9354838709677419
475,0.8840579710144928,0.9354838709677419
476,0.8714285714285714,0.9354838709677419
477,0.8714285714285714,0.9354838709677419
478,0.8714285714285714,0.9354838709677419
479,0.8591549295774648,0.9354838709677419
480,0.8591549295774648,0.9354838709677419
481,0.875,0.9354838709677419
482,0.9333333333333333,0.9354838709677419
483,0.9333333333333333,0.9354838709677419
484,0.9333333333333333,0.9354838709677419
485,0.9333333333333333,0.9354838709677419
486,0.9333333333333333,0.9354838709677419
487,0.9333333333333333,0.9354838709677419
488,0.9473684210526315,0.9473684210526315
489,0.9473684210526315,0.9473684210526315
490,0.935064935064935,0.9473684210526315
491,0.935064935064935,0.9473684210526315
492,0.935064935064935,0.9473684210526315
493,0.935064935064935,0.9473684210526315
494,0.935064935064935,0.9473684210526315
495,0.935064935064935,0.9473684210526315
496,0.935064935064935,0.9473684210526315
497,0.935064935064935,0.9473684210526315
498,0.935064935064935,0.9473684210526315
499,0.935064935064935,0.9473684210526315
500,0.935064935064935,0.9473684210526315
501,0.935064935064935,0.9473684210526315
502,0.935064935064935,0.9473684210526315
503,0.935064935064935,0.9473684210526315
504,0.935064935064935,0.9473684210526315
505,0.935064935064935,0.9473684210526315
506,0.935064935064935,0.9473684210526315
507,0.935064935064935,0.9473684210526315
508,0.935064935064935,0.9473684210526315
509,0.935064935064935,0.9473684210526315
