episode,average_score,best_score
1,,-inf
2,,-inf
3,,-inf
4,,-inf
5,,-inf
6,,-inf
7,,-inf
8,,-inf
9,,-inf
10,,-inf
11,,-inf
12,,-inf
13,,-inf
14,,-inf
15,,-inf
16,,-inf
17,,-inf
18,,-inf
19,,-inf
20,,-inf
21,,-inf
22,,-inf
23,,-inf
24,,-inf
25,,-inf
26,,-inf
27,,-inf
28,,-inf
29,,-inf
30,,-inf
31,,-inf
32,,-inf
33,,-inf
34,,-inf
35,,-inf
36,,-inf
37,,-inf
38,,-inf
39,,-inf
40,,-inf
41,,-inf
42,,-inf
43,,-inf
44,,-inf
45,,-inf
46,,-inf
47,,-inf
48,,-inf
49,,-inf
50,,-inf
51,,-inf
52,,-inf
53,,-inf
54,,-inf
55,,-inf
56,,-inf
57,,-inf
58,,-inf
59,,-inf
60,,-inf
61,,-inf
62,,-inf
63,,-inf
64,,-inf
65,,-inf
66,,-inf
67,,-inf
68,,-inf
69,,-inf
70,,-inf
71,,-inf
72,,-inf
73,,-inf
74,,-inf
75,,-inf
76,,-inf
77,,-inf
78,,-inf
79,,-inf
80,,-inf
81,,-inf
82,,-inf
83,,-inf
84,,-inf
85,,-inf
86,,-inf
87,,-inf
88,,-inf
89,,-inf
90,,-inf
91,,-inf
92,,-inf
93,,-inf
94,,-inf
95,,-inf
96,,-inf
97,,-inf
98,,-inf
99,,-inf
100,,-inf
101,,-inf
102,,-inf
103,,-inf
104,,-inf
105,,-inf
106,,-inf
107,,-inf
108,,-inf
109,,-inf
110,,-inf
111,,-inf
112,,-inf
113,,-inf
114,,-inf
115,,-inf
116,,-inf
117,,-inf
118,,-inf
119,,-inf
120,,-inf
121,,-inf
122,,-inf
123,,-inf
124,,-inf
125,,-inf
126,,-inf
127,,-inf
128,,-inf
129,,-inf
130,,-inf
131,,-inf
132,,-inf
133,,-inf
134,,-inf
135,,-inf
136,,-inf
137,,-inf
138,,-inf
139,,-inf
140,,-inf
141,,-inf
142,,-inf
143,,-inf
144,,-inf
145,,-inf
146,,-inf
147,,-inf
148,,-inf
149,,-inf
150,,-inf
151,,-inf
152,,-inf
153,,-inf
154,,-inf
155,,-inf
156,,-inf
157,,-inf
158,,-inf
159,,-inf
160,,-inf
161,,-inf
162,,-inf
163,,-inf
164,,-inf
165,,-inf
166,,-inf
167,,-inf
168,,-inf
169,,-inf
170,,-inf
171,,-inf
172,,-inf
173,,-inf
174,,-inf
175,,-inf
176,,-inf
177,,-inf
178,,-inf
179,,-inf
180,,-inf
181,,-inf
182,,-inf
183,,-inf
184,,-inf
185,,-inf
186,,-inf
187,,-inf
188,,-inf
189,,-inf
190,,-inf
191,,-inf
192,,-inf
193,,-inf
194,,-inf
195,,-inf
196,,-inf
197,,-inf
198,,-inf
199,,-inf
200,,-inf
201,,-inf
202,,-inf
203,,-inf
204,,-inf
205,,-inf
206,,-inf
207,,-inf
208,,-inf
209,,-inf
210,,-inf
211,,-inf
212,,-inf
213,,-inf
214,,-inf
215,,-inf
216,,-inf
217,,-inf
218,,-inf
219,,-inf
220,,-inf
221,,-inf
222,,-inf
223,,-inf
224,,-inf
225,,-inf
226,,-inf
227,,-inf
228,,-inf
229,,-inf
230,,-inf
231,,-inf
232,,-inf
233,,-inf
234,,-inf
235,,-inf
236,,-inf
237,,-inf
238,,-inf
239,,-inf
240,,-inf
241,,-inf
242,,-inf
243,,-inf
244,,-inf
245,,-inf
246,,-inf
247,,-inf
248,,-inf
249,,-inf
250,,-inf
251,,-inf
252,,-inf
253,,-inf
254,,-inf
255,,-inf
256,,-inf
257,,-inf
258,,-inf
259,,-inf
260,,-inf
261,,-inf
262,,-inf
263,,-inf
264,,-inf
265,,-inf
266,,-inf
267,,-inf
268,,-inf
269,,-inf
270,,-inf
271,,-inf
272,,-inf
273,,-inf
274,,-inf
275,,-inf
276,,-inf
277,,-inf
278,,-inf
279,,-inf
280,,-inf
281,,-inf
282,,-inf
283,,-inf
284,,-inf
285,,-inf
286,,-inf
287,,-inf
288,,-inf
289,,-inf
290,,-inf
291,,-inf
292,,-inf
293,,-inf
294,,-inf
295,,-inf
296,,-inf
297,,-inf
298,,-inf
299,,-inf
300,,-inf
301,,-inf
302,,-inf
303,,-inf
304,,-inf
305,,-inf
306,,-inf
307,,-inf
308,,-inf
309,,-inf
310,,-inf
311,,-inf
312,,-inf
313,,-inf
314,,-inf
315,,-inf
316,,-inf
317,,-inf
318,,-inf
319,,-inf
320,,-inf
321,,-inf
322,,-inf
323,,-inf
324,,-inf
325,,-inf
326,,-inf
327,,-inf
328,,-inf
329,,-inf
330,,-inf
331,,-inf
332,,-inf
333,,-inf
334,,-inf
335,,-inf
336,,-inf
337,,-inf
338,,-inf
339,,-inf
340,,-inf
341,,-inf
342,,-inf
343,,-inf
344,,-inf
345,,-inf
346,,-inf
347,,-inf
348,,-inf
349,,-inf
350,,-inf
351,,-inf
352,,-inf
353,,-inf
354,,-inf
355,,-inf
356,,-inf
357,,-inf
358,,-inf
359,,-inf
360,,-inf
361,,-inf
362,,-inf
363,,-inf
364,,-inf
365,,-inf
366,,-inf
367,,-inf
368,,-inf
369,,-inf
370,,-inf
371,,-inf
372,,-inf
373,,-inf
374,,-inf
375,,-inf
376,,-inf
377,,-inf
378,,-inf
379,,-inf
380,,-inf
381,,-inf
382,,-inf
383,,-inf
384,,-inf
385,,-inf
386,,-inf
387,,-inf
388,,-inf
389,,-inf
390,,-inf
391,,-inf
392,,-inf
393,,-inf
394,,-inf
395,,-inf
396,,-inf
397,,-inf
398,,-inf
399,,-inf
400,,-inf
401,,-inf
402,,-inf
403,,-inf
404,,-inf
405,,-inf
406,,-inf
407,,-inf
408,,-inf
409,,-inf
410,,-inf
411,,-inf
412,,-inf
413,,-inf
414,,-inf
415,,-inf
416,15.0,15.0
417,15.0,15.0
418,15.0,15.0
419,15.0,15.0
420,15.0,15.0
421,15.0,15.0
422,15.0,15.0
423,15.0,15.0
424,15.0,15.0
425,15.0,15.0
426,15.0,15.0
427,15.0,15.0
428,15.0,15.0
429,15.0,15.0
430,15.0,15.0
431,15.0,15.0
432,15.0,15.0
433,15.0,15.0
434,15.0,15.0
435,15.0,15.0
436,15.0,15.0
437,15.0,15.0
438,15.0,15.0
439,15.0,15.0
440,15.0,15.0
441,15.0,15.0
442,15.0,15.0
443,15.0,15.0
444,15.0,15.0
445,15.0,15.0
446,15.0,15.0
447,15.0,15.0
448,15.0,15.0
449,15.0,15.0
450,15.0,15.0
451,15.0,15.0
452,15.0,15.0
453,15.0,15.0
454,15.0,15.0
455,15.0,15.0
456,15.0,15.0
457,15.0,15.0
458,15.0,15.0
459,15.0,15.0
460,15.0,15.0
461,15.0,15.0
462,15.0,15.0
463,15.0,15.0
464,15.0,15.0
465,15.0,15.0
466,15.0,15.0
467,15.0,15.0
468,15.0,15.0
469,15.0,15.0
470,15.0,15.0
471,15.0,15.0
472,15.0,15.0
473,15.0,15.0
474,15.0,15.0
475,15.0,15.0
476,15.0,15.0
477,15.0,15.0
478,15.0,15.0
479,15.0,15.0
480,15.0,15.0
481,15.0,15.0
482,15.0,15.0
483,15.0,15.0
484,15.0,15.0
485,15.0,15.0
486,15.0,15.0
487,15.0,15.0
488,15.0,15.0
489,15.0,15.0
490,15.0,15.0
491,15.0,15.0
492,15.0,15.0
493,15.0,15.0
494,15.0,15.0
495,15.0,15.0
496,15.0,15.0
497,15.0,15.0
498,15.0,15.0
499,15.0,15.0
500,15.0,15.0
501,15.0,15.0
502,15.0,15.0
503,15.0,15.0
504,15.0,15.0
505,15.0,15.0
506,15.0,15.0
507,15.0,15.0
508,15.0,15.0
509,15.0,15.0
510,15.0,15.0
511,15.0,15.0
512,15.0,15.0
513,15.0,15.0
514,15.0,15.0
515,15.0,15.0
516,15.0,15.0
517,15.0,15.0
518,15.0,15.0
519,15.0,15.0
520,15.0,15.0
521,15.0,15.0
522,15.0,15.0
523,15.0,15.0
524,15.0,15.0
525,15.0,15.0
526,15.0,15.0
527,15.0,15.0
528,15.0,15.0
529,15.0,15.0
530,15.0,15.0
531,15.0,15.0
532,15.0,15.0
533,15.0,15.0
534,15.0,15.0
535,15.0,15.0
536,15.0,15.0
537,15.0,15.0
538,15.0,15.0
539,15.0,15.0
540,15.0,15.0
541,15.0,15.0
542,15.0,15.0
543,15.0,15.0
544,15.0,15.0
545,15.0,15.0
546,15.0,15.0
547,15.0,15.0
548,15.0,15.0
549,15.0,15.0
550,15.0,15.0
551,15.0,15.0
552,15.0,15.0
553,15.0,15.0
554,15.0,15.0
555,15.0,15.0
556,15.0,15.0
557,15.0,15.0
558,15.0,15.0
559,15.0,15.0
560,15.0,15.0
561,15.0,15.0
562,15.0,15.0
563,15.0,15.0
564,15.0,15.0
565,15.0,15.0
566,15.0,15.0
567,15.0,15.0
568,15.0,15.0
569,15.0,15.0
570,15.0,15.0
571,15.0,15.0
572,15.0,15.0
573,15.0,15.0
574,15.0,15.0
575,15.0,15.0
576,15.0,15.0
577,15.0,15.0
578,15.0,15.0
579,15.0,15.0
580,15.0,15.0
581,15.0,15.0
582,15.0,15.0
583,15.0,15.0
584,15.0,15.0
585,15.0,15.0
586,15.0,15.0
587,15.0,15.0
588,15.0,15.0
589,15.0,15.0
590,15.0,15.0
591,15.0,15.0
592,15.0,15.0
593,15.0,15.0
594,15.0,15.0
595,15.0,15.0
596,15.0,15.0
597,15.0,15.0
598,15.0,15.0
599,15.0,15.0
600,15.0,15.0
601,15.0,15.0
602,15.0,15.0
603,15.0,15.0
604,15.0,15.0
605,15.0,15.0
606,15.0,15.0
607,15.0,15.0
608,15.0,15.0
609,15.0,15.0
610,15.0,15.0
611,15.0,15.0
612,15.0,15.0
613,15.0,15.0
614,15.0,15.0
615,15.0,15.0
616,15.0,15.0
617,15.0,15.0
618,15.0,15.0
619,15.0,15.0
620,15.0,15.0
621,15.0,15.0
622,15.0,15.0
623,15.0,15.0
624,15.0,15.0
625,15.0,15.0
626,15.0,15.0
627,17.0,17.0
628,17.0,17.0
629,17.0,17.0
630,17.0,17.0
631,17.0,17.0
632,17.0,17.0
633,17.0,17.0
634,17.0,17.0
635,17.0,17.0
636,17.0,17.0
637,17.0,17.0
638,17.0,17.0
639,17.0,17.0
640,17.0,17.0
641,17.0,17.0
642,17.0,17.0
643,17.0,17.0
644,17.0,17.0
645,17.0,17.0
646,17.0,17.0
647,17.0,17.0
648,17.0,17.0
649,17.0,17.0
650,17.0,17.0
651,17.0,17.0
652,17.0,17.0
653,17.0,17.0
654,17.0,17.0
655,17.0,17.0
656,17.0,17.0
657,17.0,17.0
658,17.0,17.0
659,17.0,17.0
660,17.0,17.0
661,17.0,17.0
662,17.0,17.0
663,17.0,17.0
664,17.0,17.0
665,17.0,17.0
666,17.0,17.0
667,17.0,17.0
668,17.0,17.0
669,17.0,17.0
670,17.0,17.0
671,17.0,17.0
672,17.0,17.0
673,17.0,17.0
674,17.0,17.0
675,17.0,17.0
676,17.0,17.0
677,17.0,17.0
678,17.0,17.0
679,17.0,17.0
680,17.0,17.0
681,17.0,17.0
682,17.0,17.0
683,17.0,17.0
684,17.0,17.0
685,17.0,17.0
686,17.0,17.0
687,17.0,17.0
688,17.0,17.0
689,17.0,17.0
690,17.0,17.0
691,17.0,17.0
692,17.0,17.0
693,17.0,17.0
694,17.0,17.0
695,17.0,17.0
696,17.0,17.0
697,17.0,17.0
698,17.0,17.0
699,17.0,17.0
700,17.0,17.0
701,17.0,17.0
702,17.0,17.0
703,17.0,17.0
704,17.0,17.0
705,17.0,17.0
706,17.0,17.0
707,17.0,17.0
708,17.0,17.0
709,17.0,17.0
710,17.0,17.0
711,17.0,17.0
712,17.0,17.0
713,17.0,17.0
714,17.0,17.0
715,17.0,17.0
716,17.0,17.0
717,17.0,17.0
718,17.0,17.0
719,17.0,17.0
720,17.0,17.0
721,17.0,17.0
722,17.0,17.0
723,17.0,17.0
724,17.0,17.0
725,17.0,17.0
726,17.0,17.0
727,17.0,17.0
728,17.0,17.0
729,17.0,17.0
730,17.0,17.0
731,17.0,17.0
732,17.0,17.0
733,19.0,19.0
734,19.0,19.0
735,19.0,19.0
736,19.0,19.0
737,19.0,19.0
738,19.0,19.0
739,19.0,19.0
740,19.0,19.0
741,19.0,19.0
742,19.0,19.0
743,19.0,19.0
744,19.0,19.0
745,19.0,19.0
746,19.0,19.0
747,19.0,19.0
748,19.0,19.0
749,19.0,19.0
750,19.0,19.0
751,19.0,19.0
752,19.0,19.0
753,19.0,19.0
754,19.0,19.0
755,19.0,19.0
756,19.0,19.0
757,19.0,19.0
758,19.0,19.0
759,19.0,19.0
760,19.0,19.0
761,19.0,19.0
762,19.0,19.0
763,19.0,19.0
764,19.0,19.0
765,19.0,19.0
766,19.0,19.0
767,19.0,19.0
768,19.0,19.0
769,19.0,19.0
770,19.0,19.0
771,19.0,19.0
772,19.0,19.0
773,19.0,19.0
774,19.0,19.0
775,19.0,19.0
776,21.2,21.2
777,21.2,21.2
778,21.2,21.2
779,21.2,21.2
780,21.2,21.2
781,21.2,21.2
782,21.2,21.2
783,21.2,21.2
784,21.2,21.2
785,21.2,21.2
786,21.2,21.2
787,21.2,21.2
788,21.2,21.2
789,21.2,21.2
790,21.2,21.2
791,21.2,21.2
792,21.2,21.2
793,21.2,21.2
794,21.2,21.2
795,21.2,21.2
796,21.2,21.2
797,21.2,21.2
798,21.2,21.2
799,21.2,21.2
800,21.2,21.2
801,21.2,21.2
802,21.2,21.2
803,21.2,21.2
804,21.2,21.2
805,21.2,21.2
806,21.2,21.2
807,21.2,21.2
808,21.2,21.2
809,21.2,21.2
810,21.2,21.2
811,21.2,21.2
812,21.2,21.2
813,21.2,21.2
814,21.2,21.2
815,21.2,21.2
816,21.2,21.2
817,21.2,21.2
818,21.2,21.2
819,21.2,21.2
820,21.2,21.2
821,21.2,21.2
822,21.2,21.2
823,21.2,21.2
824,21.2,21.2
825,21.2,21.2
826,21.2,21.2
827,21.2,21.2
828,21.2,21.2
829,21.2,21.2
830,21.2,21.2
831,21.2,21.2
832,21.2,21.2
833,21.2,21.2
834,21.2,21.2
835,21.2,21.2
836,21.2,21.2
837,21.2,21.2
838,21.2,21.2
839,21.2,21.2
840,21.2,21.2
841,21.2,21.2
842,21.2,21.2
843,21.2,21.2
844,21.2,21.2
845,21.2,21.2
846,21.2,21.2
847,21.2,21.2
848,21.2,21.2
849,21.2,21.2
850,21.2,21.2
851,21.2,21.2
852,21.2,21.2
853,21.2,21.2
854,21.2,21.2
855,21.2,21.2
856,21.2,21.2
857,21.2,21.2
858,21.2,21.2
859,21.2,21.2
860,21.2,21.2
861,21.2,21.2
862,21.2,21.2
863,21.2,21.2
864,21.2,21.2
865,21.2,21.2
866,21.2,21.2
867,21.2,21.2
868,21.2,21.2
869,21.2,21.2
870,21.2,21.2
871,21.2,21.2
872,21.2,21.2
873,21.2,21.2
874,21.2,21.2
875,21.2,21.2
876,21.2,21.2
877,21.2,21.2
878,20.833333333333332,21.2
879,20.833333333333332,21.2
880,20.833333333333332,21.2
881,20.833333333333332,21.2
882,20.833333333333332,21.2
883,20.833333333333332,21.2
884,20.833333333333332,21.2
885,20.833333333333332,21.2
886,20.833333333333332,21.2
887,20.833333333333332,21.2
888,20.833333333333332,21.2
889,20.833333333333332,21.2
890,20.833333333333332,21.2
891,20.833333333333332,21.2
892,20.833333333333332,21.2
893,20.833333333333332,21.2
894,20.833333333333332,21.2
895,20.833333333333332,21.2
